1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
│   987   │ 94.614  │  55.575   │    27    │  1.368   │
│   988   │ 94.421  │  55.382   │  23.715  │  1.368   │
│   989   │ 96.494  │  55.382   │  24.391  │  1.372   │
│   990   │  96.87  │  55.837   │  34.941  │  1.376   │
│   991   │ 100.016 │  61.936   │  25.468  │  1.364   │
│   992   │ 100.217 │  62.128   │  36.386  │  1.368   │
│   993   │ 101.331 │  62.128   │  36.361  │  1.372   │
│   994   │ 103.018 │  62.128   │  39.199  │  1.376   │
│   995   │ 105.198 │  67.178   │  29.746  │  1.364   │
│   996   │ 68.461  │  29.692   │  24.554  │   1.36   │
│   997   │  75.42  │  35.987   │  28.408  │  1.364   │
│   998   │ 79.958  │  46.207   │  29.073  │  1.364   │
│   999   │ 87.278  │  46.207   │  29.898  │  1.368   │
│  1000   │ 88.539  │  47.256   │  34.824  │  1.372   │
│  1001   │ 89.674  │  66.392   │  26.963  │   1.36   │
│  1002   │ 95.056  │  66.589   │  36.473  │  1.364   │
│  1003   │ 101.081 │  66.589   │  32.967  │  1.368   │
│  1004   │ 107.737 │  66.392   │  30.224  │  1.368   │
│  1005   │ 108.265 │  66.589   │  39.29   │  1.372   │
│  1006   │  108.2  │  68.227   │  18.739  │   1.36   │
│  1007   │ 108.397 │  68.424   │  26.904  │  1.364   │
│  1008   │ 108.605 │   68.62   │  34.599  │  1.364   │
│  1009   │ 108.454 │  68.424   │  29.333  │  1.364   │
│  1010   │ 109.58  │   68.62   │  35.577  │  1.368   │
│  1011   │ 110.26  │  68.424   │  29.606  │  1.368   │
│  1012   │ 110.457 │   68.62   │  36.304  │  1.368   │
│  1013   │ 110.26  │  68.424   │  29.466  │  1.368   │
│  1014   │ 110.457 │   68.62   │  35.435  │  1.368   │
│  1015   │ 110.653 │  68.817   │  41.005  │  1.368   │
│  1016   │ 106.656 │  64.819   │  9.961   │  1.364   │
│  1017   │ 106.852 │  65.016   │  15.389  │  1.364   │
│  1018   │ 107.049 │  65.212   │  21.404  │  1.364   │
│  1019   │ 106.664 │  64.819   │  11.805  │  1.364   │
│  1020   │ 106.861 │  65.016   │  18.438  │  1.364   │
│  1021   │ 107.061 │  65.217   │  25.221  │  1.368   │
│  1022   │ 106.877 │   65.02   │  18.842  │  1.368   │
│  1023   │ 107.078 │  65.221   │  26.076  │  1.368   │
│  1024   │ 106.877 │   65.02   │  20.91   │  1.372   │
│  1025   │ 107.078 │  65.221   │  28.919  │  1.372   │
│  1026   │ 106.877 │   65.02   │  25.265  │  1.376   │
│  1027   │ 97.292  │  58.266   │  14.19   │   1.36   │
│  1028   │ 97.493  │  58.466   │  23.319  │  1.364   │
│  1029   │ 97.296  │  58.266   │  19.064  │  1.368   │
│  1030   │ 97.497  │  58.466   │  28.933  │  1.368   │
│  1031   │ 100.336 │  58.466   │  28.397  │  1.372   │
│  1032   │ 100.139 │  58.266   │  26.255  │  1.376   │
│  1033   │ 100.34  │  58.466   │  36.054  │   1.38   │
│  1034   │ 101.876 │  62.722   │  20.945  │   1.36   │
│  1035   │ 102.076 │  62.923   │  26.588  │   1.36   │
│  1036   │ 102.289 │  63.123   │  32.452  │   1.36   │
│  1037   │ 102.089 │  62.923   │  23.52   │   1.36   │
│  1038   │ 102.289 │  63.123   │  29.048  │   1.36   │
│  1039   │ 102.49  │  63.324   │  34.711  │   1.36   │
│  1040   │ 75.559  │  41.951   │  24.262  │   1.36   │
│  1041   │ 80.036  │  41.751   │  23.13   │   1.36   │
│  1042   │ 82.334  │  41.955   │  28.252  │   1.36   │
│  1043   │ 72.966  │  33.567   │  25.108  │   1.36   │
│  1044   │ 74.285  │  33.567   │  25.915  │   1.36   │
│  1045   │ 74.809  │  33.567   │  27.021  │   1.36   │
│  1046   │  74.85  │  33.362   │   25.7   │   1.36   │
│  1047   │ 75.055  │  33.567   │  27.998  │   1.36   │
│  1048   │ 74.314  │  33.362   │  29.363  │  1.364   │
│  1049   │ 75.104  │   36.77   │  9.743   │   1.36   │
│  1050   │ 78.545  │   36.77   │  12.046  │  1.364   │
│  1051   │ 82.817  │  45.158   │  15.006  │  1.368   │
│  1052   │ 75.682  │   34.41   │  19.081  │  1.364   │
│  1053   │ 75.887  │  34.615   │  20.474  │  1.364   │
│  1054   │ 78.062  │  53.285   │  24.192  │  1.364   │
│  1055   │ 86.663  │  53.809   │  24.644  │  1.372   │
│  1056   │ 94.605  │  54.276   │  34.602  │  1.372   │
│  1057   │ 101.048 │  59.781   │  33.056  │  1.376   │
│  1058   │ 103.031 │  64.295   │  22.978  │  1.364   │
│  1059   │ 103.236 │   64.5    │  33.417  │  1.364   │
│  1060   │ 103.236 │   64.5    │  30.683  │  1.368   │
│  1061   │ 105.837 │  64.705   │  39.042  │  1.368   │
│  1062   │ 106.377 │   64.5    │  38.464  │  1.372   │
│  1063   │ 106.201 │   66.13   │   22.4   │  1.364   │
│  1064   │ 106.41  │  66.339   │  32.142  │  1.368   │
│  1065   │ 106.422 │  66.339   │  25.865  │  1.368   │
│  1066   │ 106.631 │  66.548   │  34.398  │  1.368   │
│  1067   │ 108.229 │  66.339   │  32.018  │  1.372   │
│  1068   │ 108.438 │  66.548   │  40.344  │  1.372   │
│  1069   │ 108.229 │  66.339   │  36.26   │  1.376   │
│  1070   │ 106.734 │  66.134   │  15.183  │   1.36   │
│  1071   │ 106.942 │  66.343   │  21.981  │   1.36   │
│  1072   │ 107.151 │  66.552   │  28.484  │   1.36   │
│  1073   │ 106.942 │  66.343   │  20.878  │  1.364   │
│  1074   │ 107.151 │  66.552   │  27.743  │  1.364   │
│  1075   │ 108.253 │  66.343   │  21.387  │  1.364   │
│  1076   │ 108.462 │  66.552   │  27.46   │  1.364   │
│  1077   │ 108.671 │  66.761   │  33.115  │  1.364   │
│  1078   │ 108.253 │  66.343   │  24.285  │  1.364   │
│  1079   │ 108.478 │  66.552   │  30.383  │  1.364   │
│  1080   │ 108.069 │  66.134   │  21.48   │  1.368   │
│  1081   │ 108.278 │  66.343   │  28.169  │  1.368   │
│  1082   │ 108.487 │  66.552   │  35.111  │  1.368   │
│  1083   │ 108.278 │  66.343   │  28.35   │  1.368   │
│  1084   │ 108.487 │  66.552   │  35.758  │  1.372   │
│  1085   │ 102.035 │  60.101   │  12.98   │   1.36   │
│  1086   │ 102.248 │  60.314   │  21.162  │  1.364   │
│  1087   │ 102.035 │  60.101   │  16.033  │  1.364   │
│  1088   │ 102.248 │  60.314   │  24.811  │  1.368   │
│  1089   │ 102.248 │  60.314   │  23.196  │  1.368   │
│  1090   │ 102.035 │  60.101   │  21.017  │  1.372   │
│  1091   │ 102.248 │  60.314   │  30.707  │  1.376   │
│  1092   │  97.35  │  57.479   │  21.267  │  1.364   │
│  1093   │ 97.575  │  57.692   │  31.556  │  1.364   │
│  1094   │ 97.837  │  57.954   │  30.68   │  1.368   │
│  1095   │ 100.438 │  58.741   │  32.297  │  1.372   │
│  1096   │ 101.937 │  63.771   │  22.942  │   1.36   │
│  1097   │ 102.15  │  63.984   │  34.489  │  1.364   │
│  1098   │ 102.15  │  63.984   │  33.775  │  1.368   │
│  1099   │ 105.763 │  63.984   │  36.165  │  1.372   │
│  1100   │ 105.611 │  63.771   │  37.626  │  1.376   │
│  1101   │ 106.287 │  67.965   │  26.98   │  1.364   │
│  1102   │  106.5  │  68.178   │  35.543  │  1.364   │
│  1103   │  106.5  │  68.178   │  35.81   │  1.364   │
│  1104   │ 109.871 │  68.178   │  36.381  │  1.368   │
│  1105   │ 109.711 │  71.373   │  21.243  │   1.36   │
│  1106   │ 109.928 │   71.59   │  29.834  │   1.36   │
│  1107   │  63.07  │  22.352   │  19.561  │   1.36   │
│  1108   │ 68.997  │  32.051   │  22.752  │  1.364   │
│  1109   │ 74.187  │  32.838   │  26.095  │  1.364   │
│  1110   │ 76.247  │  43.323   │  18.774  │   1.36   │
│  1111   │ 80.564  │  43.323   │  21.202  │  1.364   │
│  1112   │ 84.701  │  43.323   │  23.664  │  1.364   │
│  1113   │ 84.922  │   43.54   │  26.884  │  1.368   │
│  1114   │ 84.922  │   43.54   │  30.098  │  1.368   │
│  1115   │ 85.041  │  61.149   │  16.884  │  1.364   │
│  1116   │ 85.463  │  61.366   │  23.133  │  1.364   │
│  1117   │ 92.348  │  61.583   │  30.261  │  1.364   │
│  1118   │ 94.495  │  61.366   │  23.154  │  1.364   │
│  1119   │ 101.175 │  61.583   │  30.171  │  1.368   │
│  1120   │ 102.932 │  61.366   │  23.98   │  1.368   │
│  1121   │ 103.15  │  61.583   │  30.319  │  1.368   │
│  1122   │ 102.945 │  61.366   │  22.417  │  1.368   │
│  1123   │ 103.162 │  61.583   │  28.084  │  1.368   │
│  1124   │ 103.379 │   61.8    │  34.293  │  1.368   │
│  1125   │ 102.945 │  61.366   │  25.651  │  1.368   │
│  1126   │ 103.162 │  61.583   │  32.393  │  1.372   │
│  1127   │ 102.728 │  61.149   │  23.908  │  1.372   │
│  1128   │ 102.949 │   61.37   │  31.23   │  1.372   │
│  1129   │ 103.227 │  61.592   │  39.002  │  1.372   │
│  1130   │ 102.429 │  61.411   │  12.397  │  1.364   │
│  1131   │ 102.65  │  61.633   │  20.757  │  1.364   │
│  1132   │ 102.429 │  61.411   │  15.118  │  1.368   │
│  1133   │ 102.654 │  61.633   │  24.215  │  1.368   │
│  1134   │ 103.571 │  61.633   │  22.397  │  1.372   │
│  1135   │ 103.35  │  61.411   │  20.092  │  1.376   │
│  1136   │ 103.584 │  61.633   │  29.708  │  1.376   │
│  1137   │ 96.956  │  56.955   │  20.451  │  1.364   │
│  1138   │ 97.178  │  57.176   │  30.837  │  1.368   │
│  1139   │ 97.178  │  57.176   │  29.43   │  1.372   │
│  1140   │ 99.242  │  57.176   │  30.698  │  1.372   │
│  1141   │ 101.233 │  62.722   │  22.151  │   1.36   │
│  1142   │ 101.454 │  62.943   │  33.803  │  1.364   │
│  1143   │ 101.454 │  62.943   │  33.31   │  1.368   │
│  1144   │ 104.808 │  62.943   │  35.572  │  1.372   │
│  1145   │ 104.71  │   66.13   │  25.702  │   1.36   │
│  1146   │ 105.062 │  66.613   │  38.077  │  1.364   │
│  1147   │ 68.575  │  27.595   │  24.055  │   1.36   │
│  1148   │ 74.166  │  35.983   │  28.56   │  1.364   │
│  1149   │ 79.573  │  46.731   │  25.388  │  1.364   │
│  1150   │ 88.441  │  46.957   │  30.438  │  1.364   │
│  1151   │ 88.875  │  46.731   │  27.134  │  1.368   │
│  1152   │ 89.338  │  64.557   │  21.765  │   1.36   │
│  1153   │ 93.524  │  64.782   │  32.101  │  1.364   │
│  1154   │  98.91  │  64.782   │  29.064  │  1.368   │
│  1155   │ 105.591 │  65.008   │  36.019  │  1.368   │
│  1156   │ 106.852 │  64.782   │  34.652  │  1.368   │
│  1157   │ 106.643 │  64.557   │  31.275  │  1.372   │
│  1158   │ 106.869 │  64.782   │  40.238  │  1.376   │
│  1159   │ 106.754 │  66.916   │  18.72   │   1.36   │
│  1160   │ 106.979 │  67.142   │  25.003  │   1.36   │
│  1161   │ 107.205 │  67.367   │  32.917  │   1.36   │
│  1162   │ 106.979 │  67.142   │  26.604  │  1.364   │
│  1163   │ 109.076 │  66.916   │  21.535  │  1.364   │
│  1164   │ 109.314 │  67.142   │  28.828  │  1.364   │
│  1165   │ 109.539 │  67.367   │  35.807  │  1.368   │
│  1166   │ 109.314 │  67.142   │  28.526  │  1.368   │
│  1167   │ 109.539 │  67.367   │  34.728  │  1.368   │
│  1168   │ 109.314 │  67.142   │  26.561  │  1.368   │
│  1169   │ 109.539 │  67.367   │  32.595  │  1.368   │
│  1170   │ 109.769 │  67.596   │  39.244  │  1.368   │
│  1171   │ 105.423 │  63.246   │  9.506   │   1.36   │
│  1172   │ 105.652 │  63.476   │  16.667  │   1.36   │
│  1173   │ 105.882 │  63.705   │  24.064  │  1.364   │
│  1174   │ 105.652 │  63.476   │  17.21   │  1.364   │
│  1175   │ 105.882 │  63.705   │  25.305  │  1.364   │
│  1176   │ 105.652 │  63.476   │  20.676  │  1.368   │
│  1177   │ 105.423 │  63.246   │  16.409  │  1.368   │
│  1178   │ 105.652 │  63.476   │   25.7   │  1.372   │
│  1179   │ 105.665 │  63.476   │  23.212  │  1.376   │
│  1180   │ 105.894 │  63.705   │  32.904  │  1.376   │
│  1181   │  96.44  │  57.741   │  19.186  │  1.364   │
│  1182   │  96.67  │  57.971   │  29.653  │  1.368   │
│  1183   │  96.67  │  57.971   │  27.786  │  1.368   │
│  1184   │ 99.795  │  57.741   │  26.882  │  1.372   │
│  1185   │ 99.934  │  58.266   │  27.86   │  1.376   │
│  1186   │ 100.663 │  62.984   │  21.647  │   1.36   │
│  1187   │ 100.893 │  63.214   │  33.427  │  1.364   │
│  1188   │ 101.618 │  63.214   │  34.083  │  1.364   │
│  1189   │ 105.279 │  63.214   │  35.971  │  1.368   │
│  1190   │ 105.132 │  65.343   │  28.924  │  1.364   │
│  1191   │ 105.693 │   66.13   │   30.2   │  1.368   │
│  1192   │ 106.938 │  66.363   │  39.953  │  1.372   │
│  1193   │ 108.446 │  66.363   │  40.864  │  1.372   │
│  1194   │ 108.335 │  68.227   │  27.131  │  1.364   │
│  1195   │ 108.569 │  68.461   │  38.494  │  1.368   │
│  1196   │ 108.569 │  68.461   │  34.244  │  1.368   │
│  1197   │ 110.399 │  68.227   │  32.916  │  1.372   │
│  1198   │ 110.633 │  68.461   │  43.604  │  1.376   │
│  1199   │ 110.633 │  68.461   │  41.893  │  1.376   │
│  1200   │ 110.457 │   69.8    │  19.31   │  1.364   │
│  1201   │ 60.174  │  19.206   │  16.504  │   1.36   │
│  1202   │ 65.851  │  28.643   │  18.657  │  1.364   │
│  1203   │ 70.726  │  29.168   │  21.468  │  1.364   │
│  1204   │  72.61  │  39.129   │  18.262  │  1.364   │
│  1205   │ 76.739  │  39.129   │  18.676  │  1.364   │
│  1206   │ 80.863  │  39.129   │  20.557  │  1.364   │
│  1207   │ 80.876  │  39.129   │  22.107  │  1.368   │
│  1208   │  81.22  │  39.363   │  24.811  │  1.368   │
│  1209   │ 81.478  │  56.693   │  14.807  │   1.36   │
│  1210   │ 82.178  │  56.926   │   22.2   │   1.36   │
│  1211   │ 88.957  │   57.16   │  29.344  │  1.364   │
│  1212   │ 89.969  │  56.926   │  21.277  │  1.364   │
│  1213   │ 95.961  │  57.164   │  27.472  │  1.364   │
│  1214   │   99    │   56.93   │  20.018  │  1.364   │
│  1215   │ 99.238  │  57.168   │  26.18   │  1.364   │
│  1216   │ 99.475  │  57.405   │  32.592  │  1.364   │
│  1217   │ 99.004  │   56.93   │  23.74   │  1.364   │
│  1218   │ 99.242  │  57.168   │  31.023  │  1.364   │
│  1219   │ 99.009  │   56.93   │  23.748  │  1.368   │
│  1220   │ 99.246  │  57.168   │  31.459  │  1.368   │
│  1221   │ 99.021  │   56.93   │  25.705  │  1.368   │
│  1222   │ 99.258  │  57.168   │  34.213  │  1.372   │
│  1223   │ 99.045  │   56.93   │  29.989  │  1.372   │
│  1224   │ 98.914  │  58.528   │  14.799  │  1.364   │
│  1225   │ 99.152  │  58.765   │  24.151  │  1.364   │
│  1226   │ 99.152  │  58.765   │  21.554  │  1.368   │
│  1227   │ 100.737 │  58.528   │  19.724  │  1.372   │
│  1228   │ 100.975 │  58.765   │  30.066  │  1.372   │
│  1229   │ 97.935  │  58.003   │  18.833  │   1.36   │
│  1230   │ 98.173  │  58.241   │  29.691  │  1.364   │
│  1231   │ 98.173  │  58.241   │  28.457  │  1.364   │
│  1232   │ 100.258 │  58.003   │  28.275  │  1.368   │
│  1233   │ 100.88  │   58.79   │  29.998  │  1.368   │
│  1234   │ 101.02  │  62.722   │  24.942  │   1.36   │
│  1235   │ 64.721  │  23.925   │  21.241  │   1.36   │
│  1236   │ 72.073  │  33.362   │  26.54   │  1.364   │
│  1237   │ 77.398  │  43.323   │  25.892  │  1.364   │
│  1238   │ 83.943  │  43.565   │  28.468  │  1.364   │
│  1239   │ 86.122  │   44.11   │  29.531  │  1.368   │
│  1240   │ 87.245  │   62.46   │  26.139  │  1.364   │
│  1241   │ 91.685  │  62.702   │  33.807  │  1.364   │
│  1242   │ 98.234  │  62.702   │  32.003  │  1.368   │
│  1243   │ 104.309 │   62.46   │  31.78   │  1.372   │
│  1244   │ 104.55  │  62.702   │  38.015  │  1.372   │
│  1245   │ 105.054 │  62.964   │  33.13   │  1.372   │
│  1246   │ 105.406 │  63.205   │  39.608  │  1.372   │
│  1247   │ 106.77  │  64.557   │  12.738  │   1.36   │
│  1248   │ 107.02  │  64.799   │  19.378  │   1.36   │
│  1249   │ 107.266 │   65.04   │  26.071  │   1.36   │
│  1250   │ 107.045 │  64.799   │  16.655  │   1.36   │
│  1251   │ 107.287 │   65.04   │  22.725  │   1.36   │
│  1252   │ 107.528 │  65.282   │  28.827  │   1.36   │
│  1253   │ 107.045 │  64.799   │  18.671  │   1.36   │
│  1254   │ 107.287 │   65.04   │  24.77   │   1.36   │
│  1255   │ 107.532 │  65.286   │  30.859  │   1.36   │
│  1256   │ 107.049 │  64.803   │  20.006  │   1.36   │
│  1257   │ 107.295 │  65.049   │  26.09   │   1.36   │
│  1258   │ 107.049 │  64.803   │  21.368  │  1.364   │
│  1259   │ 107.295 │  65.049   │  30.178  │  1.364   │
│  1260   │ 107.049 │  64.803   │  24.932  │  1.368   │
│  1261   │ 106.803 │  64.557   │  22.698  │  1.372   │
│  1262   │ 107.049 │  64.803   │  32.769  │  1.372   │
│  1263   │ 102.097 │  60.625   │  15.878  │   1.36   │
│  1264   │ 102.355 │  60.871   │  24.335  │  1.364   │
│  1265   │ 102.109 │  60.625   │  19.312  │  1.364   │
│  1266   │ 102.355 │  60.871   │  25.62   │  1.364   │
│  1267   │ 102.953 │  60.625   │  18.609  │  1.364   │
│  1268   │ 103.199 │  60.871   │  25.134  │  1.364   │
│  1269   │ 103.444 │  61.116   │  31.384  │  1.364   │
│  1270   │ 103.199 │  60.871   │  22.759  │  1.364   │
│  1271   │ 103.444 │  61.116   │  29.173  │  1.364   │
│  1272   │ 103.69  │  61.362   │  35.353  │  1.364   │
│  1273   │ 103.199 │  60.871   │  25.036  │  1.368   │
│  1274   │ 103.444 │  61.116   │  31.237  │  1.368   │
│  1275   │ 103.199 │  60.871   │  21.793  │  1.368   │
│  1276   │ 103.444 │  61.116   │  27.987  │  1.368   │
│  1277   │ 103.694 │  61.366   │  34.197  │  1.368   │
│  1278   │ 103.215 │  60.875   │  23.78   │  1.368   │
│  1279   │ 103.465 │  61.125   │  29.991  │  1.368   │
│  1280   │ 103.715 │  61.374   │  36.216  │  1.368   │
│  1281   │ 103.215 │  60.875   │  25.542  │  1.368   │
│  1282   │ 103.465 │  61.125   │  31.743  │  1.368   │
│  1283   │ 103.715 │  61.374   │  37.978  │  1.368   │
│  1284   │ 103.215 │  60.875   │  27.132  │  1.368   │
│  1285   │ 103.469 │  61.125   │  33.375  │  1.368   │
│  1286   │ 103.219 │  60.875   │  23.334  │  1.368   │
│  1287   │ 103.469 │  61.125   │  29.578  │  1.368   │
│  1288   │ 103.719 │  61.374   │  35.825  │  1.368   │
│  1289   │ 103.219 │  60.875   │  25.397  │  1.368   │
│  1290   │ 103.469 │  61.125   │  31.739  │  1.368   │
│  1291   │ 103.719 │  61.374   │  38.097  │  1.368   │
│  1292   │ 103.231 │  60.875   │  27.512  │  1.368   │
│  1293   │ 103.481 │  61.125   │  33.843  │  1.368   │
│  1294   │ 103.231 │  60.875   │  24.302  │  1.368   │
│  1295   │ 103.481 │  61.125   │  30.654  │  1.368   │
│  1296   │ 103.731 │  61.374   │  37.004  │  1.368   │
│  1297   │ 97.743  │  55.382   │  6.467   │   1.36   │
│  1298   │ 97.997  │  55.636   │  12.944  │   1.36   │
│  1299   │ 98.251  │   55.89   │  19.314  │   1.36   │
│  1300   │ 97.997  │  55.636   │   9.68   │   1.36   │
│  1301   │ 98.251  │   55.89   │  16.07   │   1.36   │
│  1302   │ 98.505  │  56.144   │  22.444  │   1.36   │
│  1303   │ 97.997  │  55.636   │  12.02   │   1.36   │
│  1304   │ 98.251  │   55.89   │  18.407  │   1.36   │
│  1305   │ 97.997  │  55.636   │  9.271   │   1.36   │
│  1306   │ 98.251  │   55.89   │  15.695  │   1.36   │
│  1307   │ 98.517  │  56.144   │  22.099  │   1.36   │
│  1308   │ 98.009  │  55.636   │  11.811  │   1.36   │
│  1309   │ 98.263  │   55.89   │  18.214  │   1.36   │
│  1310   │ 98.517  │  56.144   │  24.629  │   1.36   │
│  1311   │ 98.009  │  55.636   │  14.003  │   1.36   │
│  1312   │ 98.263  │   55.89   │  20.429  │   1.36   │
│  1313   │ 98.009  │  55.636   │  10.49   │   1.36   │
│  1314   │ 98.263  │   55.89   │  16.924  │   1.36   │
│  1315   │ 98.517  │  56.144   │  23.354  │   1.36   │
│  1316   │ 98.009  │  55.636   │  13.005  │   1.36   │
│  1317   │ 98.263  │   55.89   │  19.48   │   1.36   │
│  1318   │ 98.517  │  56.144   │  25.946  │   1.36   │
│  1319   │ 98.013  │   55.64   │  15.356  │   1.36   │
│  1320   │ 98.271  │  55.898   │  21.85   │   1.36   │
│  1321   │ 98.025  │   55.64   │  12.287  │   1.36   │
│  1322   │ 98.284  │  55.898   │  19.818  │  1.364   │
│  1323   │ 97.772  │  55.382   │  12.131  │  1.364   │
│  1324   │  98.03  │   55.64   │  21.606  │  1.364   │
│  1325   │  98.03  │   55.64   │  14.959  │  1.368   │
│  1326   │ 98.288  │  55.898   │  21.443  │  1.368   │
│  1327   │ 98.546  │  56.156   │  27.954  │  1.368   │
│  1328   │ 68.669  │   26.28   │  15.414  │  1.368   │
│  1329   │ 69.403  │  30.474   │  17.114  │  1.368   │
│  1330   │ 72.864  │  30.474   │  16.843  │  1.368   │
│  1331   │ 72.864  │  30.474   │  17.112  │  1.368   │
│  1332   │ 68.805  │  34.673   │  6.617   │   1.36   │
│  1333   │ 71.246  │  34.931   │  13.291  │   1.36   │
│  1334   │  62.98  │  22.348   │  9.397   │   1.36   │
│  1335   │ 64.483  │   22.09   │  8.794   │   1.36   │
│  1336   │  64.75  │  22.348   │  11.142  │   1.36   │
│  1337   │ 64.233  │  22.348   │  11.888  │   1.36   │
│  1338   │  64.75  │  22.348   │  12.653  │   1.36   │
│  1339   │ 64.737  │  22.348   │  13.282  │   1.36   │
│  1340   │ 64.745  │  22.348   │  14.058  │   1.36   │
│  1341   │ 64.741  │  22.352   │  14.899  │   1.36   │
│  1342   │ 64.483  │   22.09   │  13.667  │   1.36   │
│  1343   │ 64.508  │  25.498   │  6.483   │   1.36   │
│  1344   │ 67.199  │   25.76   │  9.845   │   1.36   │
│  1345   │ 62.407  │  21.565   │  9.158   │   1.36   │
│  1346   │ 64.033  │   25.76   │  10.127  │   1.36   │
│  1347   │ 60.559  │  18.158   │   8.58   │   1.36   │
│  1348   │ 62.849  │  21.565   │  11.592  │   1.36   │
│  1349   │ 60.572  │  18.158   │  10.245  │   1.36   │
│  1350   │ 63.717  │  21.303   │  11.12   │   1.36   │
│  1351   │ 64.958  │   25.76   │  14.773  │   1.36   │
│  1352   │  63.98  │  21.565   │  14.178  │   1.36   │
│  1353   │ 63.607  │  24.973   │  6.482   │   1.36   │
│  1354   │ 66.744  │  25.235   │  9.926   │   1.36   │
│  1355   │ 61.972  │  21.041   │  9.214   │   1.36   │
│  1356   │ 63.455  │  21.041   │  9.843   │   1.36   │
│  1357   │ 62.931  │  21.041   │  10.723  │   1.36   │
│  1358   │ 63.455  │  21.041   │  11.543  │   1.36   │
│  1359   │ 63.455  │  21.041   │  12.385  │   1.36   │
│  1360   │ 63.189  │  20.779   │  11.205  │   1.36   │
│  1361   │ 64.459  │  25.235   │  14.892  │   1.36   │
│  1362   │ 67.658  │   25.24   │  14.501  │   1.36   │
│  1363   │ 67.391  │  24.973   │  6.367   │   1.36   │
│  1364   │ 67.719  │   25.24   │  9.858   │   1.36   │
│  1365   │ 62.427  │  21.045   │  9.543   │   1.36   │
│  1366   │ 63.156  │  21.045   │  10.019  │   1.36   │
│  1367   │ 63.513  │  21.045   │  10.79   │   1.36   │
│  1368   │ 63.255  │  20.779   │  9.709   │   1.36   │
│  1369   │  63.59  │   25.24   │  12.229  │   1.36   │
│  1370   │ 67.719  │   25.24   │  12.447  │   1.36   │
│  1371   │ 67.719  │   25.24   │  12.801  │   1.36   │
│  1372   │ 67.781  │  33.362   │  6.492   │   1.36   │
│  1373   │  70.55  │  33.628   │  13.356  │   1.36   │
│  1374   │ 62.185  │  21.045   │  9.255   │   1.36   │
│  1375   │ 63.365  │  21.045   │  10.101  │   1.36   │
│  1376   │  63.66  │   21.18   │  10.735  │   1.36   │
│  1377   │  63.66  │   21.18   │  11.694  │  1.364   │
│  1378   │ 63.398  │  20.914   │  10.458  │  1.364   │
│  1379   │ 63.738  │  25.375   │  13.029  │  1.364   │
│  1380   │ 67.867  │  25.375   │  13.393  │  1.364   │
│  1381   │ 67.867  │  25.375   │  13.704  │  1.364   │
│  1382   │ 62.505  │  22.229   │  14.59   │  1.364   │
│  1383   │ 63.672  │  21.185   │   15.2   │  1.364   │
│  1384   │ 62.448  │  20.648   │   6.25   │   1.36   │
│  1385   │ 63.476  │  25.113   │  8.851   │   1.36   │
│  1386   │ 67.596  │  25.113   │  9.106   │   1.36   │
│  1387   │ 67.604  │  25.113   │  9.551   │   1.36   │
│  1388   │ 60.256  │  17.764   │  9.788   │   1.36   │
│  1389   │ 63.205  │  24.842   │  11.427  │   1.36   │
│  1390   │ 67.334  │  24.842   │   13.8   │  1.364   │
│  1391   │ 66.679  │  32.444   │  8.728   │   1.36   │
│  1392   │ 69.476  │  32.715   │  15.644  │   1.36   │
│  1393   │ 62.194  │  20.132   │  11.401  │   1.36   │
│  1394   │ 62.726  │  20.132   │  12.401  │   1.36   │
│  1395   │ 62.726  │  20.132   │  12.962  │   1.36   │
│  1396   │ 65.659  │  24.326   │  14.969  │   1.36   │
│  1397   │  66.92  │  24.326   │  15.145  │   1.36   │
│  1398   │  66.92  │  24.326   │  15.021  │   1.36   │
│  1399   │  67.31  │  32.444   │  6.533   │   1.36   │
│  1400   │ 70.148  │  32.715   │  13.513  │   1.36   │
│  1401   │ 61.583  │  20.132   │  9.705   │   1.36   │
│  1402   │ 62.718  │  20.132   │  10.053  │   1.36   │
│  1403   │ 65.454  │  24.326   │  11.867  │   1.36   │
│  1404   │ 66.925  │  24.326   │  11.597  │   1.36   │
│  1405   │ 66.929  │   24.33   │  11.803  │   1.36   │
│  1406   │  65.72  │  30.872   │  6.339   │   1.36   │
│  1407   │ 68.563  │  31.146   │  13.321  │   1.36   │
│  1408   │ 59.412  │  18.563   │   9.2    │   1.36   │
│  1409   │ 61.178  │  18.563   │  10.202  │   1.36   │
│  1410   │ 60.793  │  18.563   │  11.146  │   1.36   │
│  1411   │ 57.758  │  15.143   │  10.096  │   1.36   │
│  1412   │ 61.178  │  18.563   │  12.605  │   1.36   │
│  1413   │ 63.984  │  22.757   │  14.412  │   1.36   │
│  1414   │ 65.372  │  22.757   │  14.268  │   1.36   │
│  1415   │ 65.229  │  30.872   │  6.236   │   1.36   │
│  1416   │ 68.039  │  31.146   │  13.268  │   1.36   │
│  1417   │ 60.789  │  18.563   │  9.033   │   1.36   │
│  1418   │ 57.758  │  15.143   │  8.016   │   1.36   │
│  1419   │ 61.178  │  18.563   │  10.537  │   1.36   │
│  1420   │ 64.016  │  22.757   │  12.321  │   1.36   │
│  1421   │ 65.425  │  22.757   │  12.244  │   1.36   │
│  1422   │ 65.425  │  22.757   │  12.339  │   1.36   │
